leg,cum_dist_km,lon,lat,Hs_m,wind_mps,curr_mps,V_service_mps,V_achievable_mps,SOG_mps,brakePower_kW,feasible
203,9908.0,-123.7528,39.1685,1.934,2.10,0.000,6.00,6.000,6.000,2179.2,1
204,9912.6,-123.7253,39.1247,2.005,1.93,0.000,6.00,6.000,6.000,2232.9,1
205,9928.8,-123.7191,39.0333,2.069,2.07,0.000,6.00,6.000,6.000,2274.9,1
206,9930.4,-123.7339,38.9580,2.099,2.42,0.000,6.00,6.000,6.000,2306.5,1
207,9934.8,-123.7344,38.9371,2.107,2.52,0.000,6.00,6.000,6.000,2314.9,1
208,9945.0,-123.6873,38.8841,2.126,2.76,0.000,6.00,6.000,6.000,2337.3,1
209,9951.7,-123.6212,38.8277,1.962,2.97,0.000,6.00,6.000,6.000,2209.1,1
210,9955.7,-123.5765,38.7944,1.933,3.03,0.000,6.00,6.000,6.000,2173.8,1
211,9960.8,-123.5411,38.7649,1.930,3.07,0.000,6.00,6.000,6.000,2171.4,1
212,9982.0,-123.4446,38.6737,2.006,3.11,0.000,6.00,6.000,6.000,2237.9,1
213,9986.5,-123.3514,38.5840,1.945,2.89,0.000,6.00,6.000,6.000,2171.8,1
214,9990.0,-123.3208,38.5581,1.998,2.78,0.000,6.00,6.000,6.000,2230.0,1
215,9996.2,-123.2786,38.5298,2.044,2.58,0.000,6.00,6.000,6.000,2281.0,1
216,10010.0,-123.1886,38.4741,1.959,2.17,0.000,6.00,6.000,6.000,2162.3,1
217,10015.3,-123.1102,38.4167,1.971,1.97,0.000,6.00,6.000,6.000,2173.7,1
218,10018.3,-123.0874,38.3840,2.020,1.96,0.000,6.00,6.000,6.000,2248.7,1
219,10021.3,-123.0737,38.3592,2.018,1.96,0.000,6.00,6.000,6.000,2247.4,1
220,10024.0,-123.0722,38.3344,2.013,2.00,0.000,6.00,6.000,6.000,2243.7,1
221,10027.2,-123.0692,38.3092,2.015,1.97,0.000,6.00,6.000,6.000,2249.1,1
222,10060.2,-123.0392,38.1483,1.990,1.77,0.000,6.00,6.000,6.000,2233.9,1
223,10060.7,-123.0188,38.0006,1.982,2.00,0.000,6.00,6.000,6.000,2246.9,1
224,10061.6,-123.0245,37.9975,1.978,2.03,0.000,6.00,6.000,6.000,2237.9,1
225,10062.4,-123.0226,37.9940,1.977,2.03,0.000,6.00,6.000,6.000,2238.2,1
226,10094.9,-123.0098,37.8473,1.983,2.81,0.000,6.00,6.000,6.000,2237.2,1
227,10246.8,-122.4722,37.1637,1.741,1.27,0.000,6.00,6.000,6.000,1938.7,1
228,10248.7,-121.9495,36.6203,1.822,1.82,0.000,6.00,6.000,6.000,2021.3,1
229,10249.1,-121.9581,36.6128,1.828,1.87,0.000,6.00,6.000,6.000,2027.1,1
230,10250.4,-121.9619,36.6060,1.831,1.91,0.000,6.00,6.000,6.000,2030.6,1
231,10251.3,-121.9653,36.5963,1.797,1.96,0.000,6.00,6.000,6.000,1996.3,1
232,10252.9,-121.9739,36.5879,1.804,2.02,0.000,6.00,6.000,6.000,2002.3,1
233,10253.9,-121.9796,36.5792,1.809,2.07,0.000,6.00,6.000,6.000,2007.0,1
234,10254.9,-121.9740,36.5718,1.809,2.11,0.000,6.00,6.000,6.000,2006.4,1
235,10256.7,-121.9620,36.5642,1.805,2.14,0.000,6.00,6.000,6.000,2002.7,1
236,10260.7,-121.9510,36.5416,1.767,2.22,0.000,6.00,6.000,6.000,1965.3,1
237,10261.4,-121.9518,36.5232,1.774,2.24,0.000,6.00,6.000,6.000,1970.9,1
238,10261.9,-121.9561,36.5202,1.777,2.24,0.000,6.00,6.000,6.000,1973.8,1
239,10262.7,-121.9533,36.5159,1.777,2.23,0.000,6.00,6.000,6.000,1973.9,1
240,10264.1,-121.9464,36.5085,1.814,2.21,0.000,6.00,6.000,6.000,2011.3,1
241,10265.3,-121.9448,36.4974,1.786,2.19,0.000,6.00,6.000,6.000,1982.7,1
242,10266.0,-121.9455,36.4890,1.789,2.16,0.000,6.00,6.000,6.000,1985.8,1
243,10268.1,-121.9414,36.4772,1.791,2.13,0.000,6.00,6.000,6.000,1988.0,1
244,10270.5,-121.9335,36.4580,1.793,2.09,0.000,6.00,6.000,6.000,1990.8,1
245,10274.2,-121.9233,36.4317,1.797,2.06,0.000,6.00,6.000,6.000,1995.0,1
246,10275.6,-121.9161,36.4093,1.800,2.06,0.000,6.00,6.000,6.000,1999.0,1
247,10277.4,-121.9103,36.3958,1.802,2.07,0.000,6.00,6.000,6.000,2000.7,1
248,10278.6,-121.9061,36.3828,1.804,2.09,0.000,6.00,6.000,6.000,2002.9,1
249,10279.2,-121.9060,36.3744,1.807,2.10,0.000,6.00,6.000,6.000,2005.4,1
250,10280.3,-121.9047,36.3669,1.809,2.11,0.000,6.00,6.000,6.000,2007.2,1
251,10281.4,-121.9024,36.3574,1.811,2.13,0.000,6.00,6.000,6.000,2009.1,1
252,10282.4,-121.8995,36.3483,1.833,2.15,0.000,6.00,6.000,6.000,2031.1,1
253,10284.2,-121.8975,36.3359,1.836,2.17,0.000,6.00,6.000,6.000,2033.7,1
254,10286.8,-121.8984,36.3162,1.842,2.20,0.000,6.00,6.000,6.000,2039.5,1
255,10289.6,-121.8866,36.2972,1.843,2.25,0.000,6.00,6.000,6.000,2039.7,1
256,10290.8,-121.8684,36.2866,1.839,2.28,0.000,6.00,6.000,6.000,2035.0,1
257,10292.8,-121.8543,36.2778,1.837,2.31,0.000,6.00,6.000,6.000,2031.7,1
258,10294.4,-121.8427,36.2659,1.855,2.34,0.000,6.00,6.000,6.000,2049.6,1
259,10295.6,-121.8378,36.2543,1.857,2.37,0.000,6.00,6.000,6.000,2050.8,1
260,10297.0,-121.8302,36.2442,1.857,2.39,0.000,6.00,6.000,6.000,2050.5,1
261,10298.5,-121.8176,36.2358,1.855,2.42,0.000,6.00,6.000,6.000,2047.8,1
262,10301.2,-121.7959,36.2294,1.867,2.44,0.000,6.00,6.000,6.000,2059.3,1
263,10306.9,-121.7553,36.2122,1.857,2.49,0.000,6.00,6.000,6.000,2047.5,1
264,10311.2,-121.7114,36.1849,1.867,2.41,0.000,6.00,6.000,6.000,2055.6,1
265,10315.8,-121.6757,36.1572,1.880,2.36,0.000,6.00,6.000,6.000,2066.9,1
266,10323.2,-121.6380,36.1135,1.897,2.32,0.000,6.00,6.000,6.000,2081.2,1
267,10327.6,-121.6054,36.0675,1.900,2.31,0.000,6.00,6.000,6.000,2081.9,1
